!!!!!               EUROJET Particle and Particle Decay Table              !!!!!
!!!!!                                                                      !!!!!
!!!!!                          Version:  2.  4                             !!!!!
!!!!!                                                                      !!!!!
!!!!!                                by                                    !!!!!
!!!!!                                                                      !!!!!
!!!!!                     A. Ali      - DESY Hamburg                       !!!!!
!!!!!                     B. van Eijk - CERN Geneva                        !!!!!
!!!!!                                                                      !!!!!
!!!!! |------------------------------------------------------------------| !!!!!
!!!!! | Version | Who | Date     | Comments                              | !!!!!
!!!!! |------------------------------------------------------------------| !!!!!
!!!!! |   1.  1 | BvE |          | Non official Release.                 | !!!!!
!!!!! |   2.  1 | BvE | 01/01/88 | First official Release.               | !!!!!
!!!!! |   2.  2 | BvE | 18/09/88 | Update of Charm and Bottom Decays.    | !!!!!
!!!!! |   2.  3 | BvE | 15/04/89 | Update of Eta', Omega, PhI, Tau and   | !!!!!
!!!!! |         |     |          | Bottom Decays. Rho' removed, Diquarks | !!!!!
!!!!! |         |     |          | and Toponium added. Charmonium and    | !!!!!
!!!!! |         |     |          | Bottomonium modified, Toponium and PDG| !!!!!
!!!!! |         |     |          | Codes added, not backwards compatible!| !!!!!
!!!!! |   2.  4 | BvE | 12/09/89 | Update of Toponium Decays, Top Mass   | !!!!!
!!!!! |         |     |          | now 60 GeV/c2, Onium Names            | !!!!!
!!!!! |------------------------------------------------------------------| !!!!!
!!!!!                                                                      !!!!!
!!!!! Modifications to the Decay Tables can easily be made by adding and   !!!!!
!!!!! removing lines from the Decay Tables or adding new particle decays.  !!!!!
!!!!! However, when the user introduces particles that have not yet been   !!!!!
!!!!! entered into the Particle List below, he is obliged to add the       !!!!!
!!!!! Particle Name etc. according to the following convention:            !!!!!
!!!!!                                                                      !!!!!
!!!!! Name     : 8 char., last char. for charge            (Format: A8)    !!!!!
!!!!! Code     : 0 < Integer < 9000                        (Format: I6)    !!!!!
!!!!! PDG Code : See Phys. Lett. 204B (1988) 113           (Format: I6)    !!!!!
!!!!! Mass     : in GeV                                    (Format: F10.5) !!!!!
!!!!! Lifetime : in sec.                                   (Format: E10.4) !!!!!
!!!!!                                                                      !!!!!
UP             1       2     0.15000  0.0000E+00
DOWN           2       1     0.15000  0.0000E+00
STRANGE        3       3     0.35000  0.0000E+00
CHARM          4       4     1.75000  0.0000E+00
BOTTOM         5       5     5.10000  0.0000E+00
TOP            6       6    60.00000  0.0000E+00
LOW            7       7   100.00000  0.0000E+00
HIGH           8       8   160.00000  0.0000E+00
GLUON          9       9     0.00000  0.0000E+00
UU1           11    2203     0.30000  0.0000E+00
DU0           21    2101     0.30000  0.0000E+00
DU1           12    2103     0.30000  0.0000E+00
DD1           22    1103     0.30000  0.0000E+00
SU0           31    3201     0.50000  0.0000E+00
SU1           13    3203     0.50000  0.0000E+00
SD0           32    3101     0.50000  0.0000E+00
SD1           23    3103     0.50000  0.0000E+00
SS1           33    3303     0.70000  0.0000E+00
CU0           41    4201     1.90000  0.0000E+00
CU1           14    4203     1.90000  0.0000E+00
CD0           42    4101     1.90000  0.0000E+00
CD1           24    4103     1.90000  0.0000E+00
CS0           43    4301     2.10000  0.0000E+00
CS1           34    4303     2.10000  0.0000E+00
CC1           44    4403     3.50000  0.0000E+00
E      -      91      11     0.00051  1.0000E+12
ENEU          92      12     0.00000  1.0000E+12
MU     -      93      13     0.10566  2.1970E-06
MUNEU         94      14     0.00000  1.0000E+12
TAU    -      95      15     1.78420  3.0400E-13
TAUNEU        96      16     0.00000  1.0000E+12
SIGMA  -      97      17    40.00000  1.0000E-20
SIGNEU        98      18     0.00000  1.0000E+12
GAMMA         99      22     0.00000  1.0000E+12
HIGGS0       191      25     9.60000  0.9973E-20
HIGGS  +     192      37    23.00000  0.3431E-20
W      +     198      24    82.00000  0.2786E-24
Z0           199      23    93.00000  0.2536E-24
PI0          110     111     0.13496  0.8700E-16
PI     -     210    -211     0.13957  2.6030E-08
ETA          220     221     0.54880  6.2687E-19
K      -     310    -321     0.49367  1.2371E-08
K0     B     320    -311     0.49772  0.8923E-10
ETAP         330     331     0.95760  2.7400E-21
RHO0         111     113     0.77030  4.3021E-24
RHO    -     211    -213     0.76680  4.3021E-24
OMEGA        221     223     0.78260  6.7200E-23
K*     -     311    -323     0.89210  1.2900E-23
K*0    B     321    -313     0.89210  1.2900E-23
KSHORT       328     310     0.49772  0.8923E-10
KLONG        329     130     0.49772  5.1830E-08
PHI          331     333     1.01950  1.5600E-22
A20          112     115     1.32000  5.9800E-24
A2     -     212    -215     1.32000  5.9800E-24
A10          113   20113     1.26200  1.6920E-24
A1     -     213  -20213     1.26200  1.6920E-24
P      +    2110    2212     0.93828  1.0000E+12
N           2210    2112     0.93957  8.9800E+02
SIGMAU +    3110    3222     1.18940  0.8000E-10
SIGMA0      3210    3212     1.19250  5.8000E-20
LAMBDA      3120    3122     1.11560  2.6320E-10
SIGMAD -    3220    3112     1.19730  1.4820E-10
CASCA0      3310    3322     1.31490  2.9000E-10
CASCA  -    3320    3312     1.32130  1.6420E-10
DELTA 2+    1111    2224     1.23000  5.9800E-24
DELTAU +    2111    2214     1.23100  5.9800E-24
DELTA0      2211    2114     1.23200  5.9800E-24
DELTAD -    2221    1114     1.23300  5.9800E-24
SIGM*U +    3111    3224     1.38230  1.8300E-23
SIGM*0      3211    3214     1.38200  1.8300E-23
SIGM*D -    3221    3114     1.38740  1.6900E-23
CASC*0      3311    3324     1.53180  7.2300E-23
CASC*  -    3321    3314     1.53500  6.5200E-23
OMEGA* -    3331    3334     1.67220  0.8220E-10
D0           410     421     1.86470  4.2700E-13
D      +     420     411     1.86940  1.0450E-12
DS     +     430     431     1.97190  4.3300E-13
D*0          411     423     2.00720  0.0000E+00
D*     +     421     413     2.01010  0.0000E+00
DS*    +     431     433     2.11500  0.0000E+00
ETAC1S       440     441     2.97960  6.3900E-23
J-PSI        442     443     3.09693  9.6797E-21
PSI2S        443   20443     3.68600  2.7090E-21
PSI3S        444   30443     3.76990  2.6020E-23
CHIC01P      447   10441     3.41510  4.8760E-23
CHIC11P      448   10443     3.51060  5.0630E-22
CHIC21P      449     445     3.55630  2.5320E-22
SIGMC 2+    4110    4222     2.44000  0.0000E+00
SIGMC  +    4210    4212     2.44000  0.0000E+00
LAMBC  +    4120    4122     2.28120  1.6400E-13
SIGMC0      4220    4112     2.44000  0.0000E+00
CASCC  +    4310    4322     2.50000  1.1000E-13
CASCCP +    4130    4232     2.55000  0.0000E+00
CASCC0      4320    4312     2.50000  1.1000E-13
CASCCP0     4230    4132     2.55000  0.0000E+00
OMEGC0      4330    4332     2.60000  0.0000E+00
CCU   2+    4410    4422     3.63000  0.0000E+00
CCD    +    4420    4412     3.63000  0.0000E+00
CCS    +    4430    4432     3.80000  0.0000E+00
SIGMC*2+    4111    4224     2.53000  0.0000E+00
SIGMC* +    4211    4214     2.53000  0.0000E+00
SIGMC*0     4221    4114     2.53000  0.0000E+00
CASCC* +    4311    4324     2.65000  0.0000E+00
CASCC*0     4321    4314     2.65000  0.0000E+00
OMEGC*0     4331    4334     2.75000  0.0000E+00
CCU*  2+    4411    4424     3.69000  0.0000E+00
CCD*   +    4421    4414     3.69000  0.0000E+00
CCS*   +    4431    4434     3.85000  0.0000E+00
CCC*  2+    4441    4444     4.90000  0.0000E+00
B      -     510    -521     5.27820  1.4200E-12
B0     B     520    -511     5.27950  1.4200E-12
BS0    B     530    -531     5.40000  1.4200E-12
BC     -     540    -541     6.55000  1.4200E-12
B*     -     511    -523     5.42500  0.0000E+00
B*0    B     521    -513     5.41800  0.0000E+00
BS*0   B     531    -533     5.54000  0.0000E+00
BC*    -     541    -543     6.60000  0.0000E+00
ETAB1S       550     551     9.40000  1.0000E-24
YPSI1S       552     553     9.46032  1.2760E-20
YPSI2S       553   20553    10.02329  1.4960E-20
YPSI3S       554   30553    10.35530  2.5320E-20
YPSI4S       555   40553    10.58000  2.7660E-23
YPSI5S       556   50553    10.86500  5.9840E-24
CHIB01P      557   10551     9.85980  0.0000E-00
CHIB11P      558   10553     9.89190  0.0000E-00
CHIB21P      559     555     9.91320  0.0000E-00
SIGMBU +    5110    5222     5.67000  4.0000E-13
SIGMB0      5210    5212     5.67000  4.0000E-13
LAMBB0      5120    5122     5.32000  4.0000E-13
SIGMBD -    5220    5112     5.67000  4.0000E-13
CASCB0      5310    5322     5.77000  4.0000E-13
CASCBP0     5130    5232     5.87000  4.0000E-13
CASCB  -    5320    5312     5.77000  4.0000E-13
CASCBP -    5230    5132     5.87000  4.0000E-13
OMEGB  -    5330    5332     5.97000  4.0000E-13
BCU    +    5410    5422     7.07000  4.0000E-13
BCUP   +    5140    5242     7.17000  0.0000E+00
BCD0        5420    5412     7.07000  4.0000E-13
BCDP0       5240    5242     7.17000  0.0000E+00
BCS0        5430    5432     7.27000  4.0000E-13
BCSP0       5340    5342     7.37000  0.0000E+00
BCC    +    5440    5442     8.27000  4.0000E-13
SIGMB*U+    5111    5224     5.97000  0.0000E+00
SIGMB*0     5211    5214     5.97000  0.0000E+00
SIGMB*D-    5221    5114     5.97000  0.0000E+00
CASCB*0     5311    5324     6.17000  0.0000E+00
CASCB* -    5321    5314     6.17000  0.0000E+00
OMEGB* -    5331    5334     6.37000  0.0000E+00
BCU*   +    5411    5424     7.37000  0.0000E+00
BCD*0       5421    5414     7.37000  0.0000E+00
BCS*0       5431    5434     7.57000  0.0000E+00
BCC*   +    5441    5444     8.57000  0.0000E+00
T0           610     621    60.20000  0.0000E+00
T      +     620     611    60.20000  0.0000E+00
TS     +     630     631    60.40000  0.0000E+00
TC0          640     641    61.20000  0.0000E+00
T*0          611     623    60.35000  0.0000E+00
T*     +     621     613    60.35500  0.0000E+00
TS*    +     631     633    60.50000  0.0000E+00
TC*0         641     643    61.35000  0.0000E+00
ETAT1S       660     661   118.08359  1.4820E-21
THET1S       662     663   118.12978  1.0760E-21
THET2S       663   20663   119.22889  1.3540E-21
THET3S       664   30663   119.62100  0.0000E+00
THET4S       665   40663   119.85145  0.0000E+00
THET5S       666   50663   120.02378  0.0000E+00
CHIT01P      667   10661   119.12623  1.2500E-21
CHIT11P      668   10663   119.13000  1.2500E-21
CHIT21P      669     665   119.13400  1.2500E-21
SIGMT 2+    6110    6222    60.57000  0.0000E+00
SIGMT  +    6210    6212    60.57000  0.0000E+00
LAMBT  +    6120    6122    60.57000  0.0000E+00
SIGMT0      6220    6112    60.57000  0.0000E+00
CASCT  +    6310    6322    60.77000  0.0000E+00
CASCTP +    6130    6232    60.77000  0.0000E+00
CASCT0      6320    6312    60.77000  0.0000E+00
CASCTP0     6230    6132    60.77000  0.0000E+00
OMEGT0      6330    6332    60.97000  0.0000E+00
TCU   2+    6410    6422    61.50000  0.0000E+00
TCUP  2+    6140    6242    61.70000  0.0000E+00
TCD    +    6420    6412    61.50000  0.0000E+00
TCDP   +    6240    6142    61.70000  0.0000E+00
TCS    +    6430    6432    61.80000  0.0000E+00
TCSP   +    6340    6342    62.00000  0.0000E+00
TCC   2+    6440    6442    62.50000  0.0000E+00
SIGMT*2+    6111    6224    60.77000  0.0000E+00
SIGMT* +    6211    6214    60.77000  0.0000E+00
SIGMT*0     6221    6114    60.77000  0.0000E+00
CASCT* +    6311    6324    60.97000  0.0000E+00
CASCT*0     6321    6314    60.97000  0.0000E+00
OMEGT*0     6331    6334    61.17000  0.0000E+00
TCU*  2+    6411    6424    61.97000  0.0000E+00
TCD*   +    6421    6414    61.97000  0.0000E+00
TCS*   +    6431    6434    62.17000  0.0000E+00
TCC*  2+    6441    6444    63.17000  0.0000E+00
L      -     710    -721   100.27100  0.0000E+00
L0     B     720    -711   100.27400  0.0000E+00
LS0    B     730    -731   100.40000  0.0000E+00
