*
* $Id: csdat.dat,v 1.1.1.1 1995/10/24 10:19:52 cernlib Exp $
*
* $Log: csdat.dat,v $
* Revision 1.1.1.1  1995/10/24 10:19:52  cernlib
* Geant
*
*
* *** EXPERIMENTAL CROSS-SECTION DATA ***
PLAB      PI- P/N   PI- P/N   PI+ P/N   PI+ P/N     I  ALL #-SECT.
(GEV/C)   ELASTIC   INELASTIC ELASTIC   INELASTIC   I  IN MB.
------------------------------------------------------------------------
0.        0.        0.        0.        0.        -1.0      -1.0
0.1       1.        3.        6.        0.        -1.0      -1.0
0.15      3.        9.2       20.       0.        -1.0      -1.0
0.2       8.        20.5      71.       0.        -1.0      -1.0
0.25      18.       36.5      155.      0.        -1.0      -1.0
0.3       25.       45.0      195.      0.        -1.0      -1.0
0.35      27.5      28.0      130.      0.        -1.0      -1.0
0.4       12.3      19.5      78.       0.5       -1.0      -1.0
0.45      10.6      15.5      60.       1.2       -1.0      -1.0
0.5       11.0      14.2      32.       1.7       -1.0      -1.0
0.55      12.5      15.5      23.5      2.25      -1.0      -1.0
0.6       14.5      17.5      18.5      3.0       -1.0      -1.0
0.65      17.0      20.0      15.0      3.6       -1.0      -1.0
0.7       19.4      23.0      12.5      4.5       -1.0      -1.0
0.75      19.8      26.0      10.0      5.4       -1.0      -1.0
0.8       16.8      20.0      9.1       6.3       -1.0      -1.0
0.85      14.0      23.0      8.6       8.6       -1.0      -1.0
0.9       14.8      26.5      8.8       9.0       -1.0      -1.0
0.95      20.0      32.0      9.5       10.0      -1.0      -1.0
1.00      26.1      35.0      10.6      11.5      -1.0      -1.0
1.1       19.5      28.5      13.0      14.0      -1.0      -1.0
1.2       15.0      22.0      15.5      17.0      -1.0      -1.0
1.3       12.8      22.5      17.1      19.5      -1.0      -1.0
1.4       11.5      23.5      17.2      22.0      -1.0      -1.0
1.5       10.5      24.0      16.2      24.0      -1.0      -1.0
1.6       9.8       24.5      15.0      21.5      -1.0      -1.0
1.8       8.8       26.0      12.3      18.5      -1.0      -1.0
2.0       8.2       27.5      10.2      19.0      -1.0      -1.0
2.2       7.8       27.5      9.0       20.5      -1.0      -1.0
2.4       7.5       27.0      8.0       22.2      -1.0      -1.0
2.6       7.2       26.5      7.3       23.0      -1.0      -1.0
2.8       7.0       25.5      6.8       23.3      -1.0      -1.0
3.0       6.8       25.0      6.5       23.0      -1.0      -1.0
4.0       6.1       23.0      5.8       21.0      -1.0      -1.0
5.0       5.7       22.5      5.4       20.5      -1.0      -1.0
6.0       5.4       22.2      5.2       20.2      -1.0      -1.0
8.0       4.9       22.0      5.0       20.1      -1.0      -1.0
10.0      4.6       22.0      4.9       20.0      -1.0      -1.0
20.0      4.0       21.2      3.8       20.0      -1.0      -1.0
100.0     3.3       20.7      3.2       20.0      -1.0      -1.0
1000.0    3.5       21.0      3.5       21.0      -1.0      -1.0
PLAB      K-  P/N   K-  P/N   K+  P/N   K+  P/N   K0L P/N   K0L P/N
(GEV/C)   ELASTIC   INELASTIC ELASTIC   INELASTIC ELASTIC   INELASTIC
------------------------------------------------------------------------
0.        300.      400.      10.       0.        100.      300.
0.1       140.      200.      11.2      0.        65.       150.
0.15      97.       120.      11.3      0.        46.       100.
0.2       70.       81.       11.4      0.        35.       70.
0.25      55.       62.       11.5      0.        27.       56.
0.3       45.       47.       11.6      0.        21.       41.
0.35      37.       35.       11.8      0.        18.       30.
0.4       31.       28.       12.       0.        15.       27.5
0.45      26.       24.       12.1      0.        13.       25.
0.5       23.       21.       12.2      0.        11.       22.
0.55      20.       19.5      12.3      0.        9.6       22.5
0.6       17.       19.0      12.4      0.        8.5       21.5
0.65      15.5      18.8      12.5      0.        8.0       21.
0.7       14.5      19.0      12.5      0.        7.6       21.5
0.75      14.7      20.       12.5      0.        8.3       22.5
0.8       18.5      21.       12.4      0.5       9.8       24.5
0.85      22.0      23.       12.3      1.5       10.8      27.
0.9       23.0      25.       12.2      2.7       11.4      29.
0.95      22.5      27.       12.0      3.8       11.0      31.
1.00      20.7      27.5      11.8      4.8       10.3      30.5
1.1       16.5      25.5      11.2      6.5       8.7       27.
1.2       14.0      22.       11.5      7.6       6.0       22.5
1.3       11.5      20.8      9.9       8.4       5.8       21.
1.4       9.6       21.0      9.4       9.0       5.0       21.3
1.5       8.6       23.0      8.8       9.4       4.5       24.
1.6       8.5       24.       8.4       9.8       4.3       25.
1.8       8.3       24.       7.5       10.5      3.9       25.8
2.0       7.6       23.8      6.9       11.0      3.7       25.
2.2       7.0       23.       6.3       11.5      3.5       24.3
2.4       6.4       22.5      5.9       11.8      3.4       23.8
2.6       5.9       22.       5.5       12.2      3.3       23.4
2.8       5.5       21.6      5.2       12.4      3.1       23.
3.0       5.3       21.4      5.0       12.6      3.0       22.6
4.0       4.4       21.       4.0       13.2      2.7       21.4
5.0       4.1       20.5      3.5       13.5      2.4       20.8
6.0       3.9       20.2      3.3       13.7      2.2       20.2
8.0       3.7       19.8      3.1       14.0      2.0       19.8
10.0      3.3       19.5      3.1       14.2      1.8       19.5
20.0      2.6       18.6      3.0       14.5      1.6       19.3
100.0     2.5       17.5      2.5       16.4      1.6       18.5
1000.0    3.0       20.       3.0       17.0      1.8       20.0
PLAB      P   P     P   P     AP  P/N   AP  P/N   N  P      N  P
